Model,Dataset,Generation,RPE
Model_Small,GSM8K,0,0.8875
Model_Small,GSM8K,1,0.7449
Model_Small,GSM8K,2,0.6253
Model_Small,GSM8K,3,0.5249
Model_Small,GSM8K,4,0.4406
Model_Small,GSM8K,5,0.3698
Model_Small,GSM8K,6,0.3104
Model_Small,GSM8K,7,0.2606
Model_Small,GSM8K,8,0.2187
Model_Small,GSM8K,9,0.1836
Model_Small,GSM8K,10,0.1541
Model_Small,MATH,0,0.9232
Model_Small,MATH,1,0.8027
Model_Small,MATH,2,0.6979
Model_Small,MATH,3,0.6068
Model_Small,MATH,4,0.5276
Model_Small,MATH,5,0.4588
Model_Small,MATH,6,0.3989
Model_Small,MATH,7,0.3468
Model_Small,MATH,8,0.3015
Model_Small,MATH,9,0.2622
Model_Small,MATH,10,0.228
Model_Medium,GSM8K,0,0.8656
Model_Medium,GSM8K,1,0.7867
Model_Medium,GSM8K,2,0.715
Model_Medium,GSM8K,3,0.6498
Model_Medium,GSM8K,4,0.5905
Model_Medium,GSM8K,5,0.5367
Model_Medium,GSM8K,6,0.4878
Model_Medium,GSM8K,7,0.4433
Model_Medium,GSM8K,8,0.4029
Model_Medium,GSM8K,9,0.3661
Model_Medium,GSM8K,10,0.3328
Model_Medium,MATH,0,0.8558
Model_Medium,MATH,1,0.7245
Model_Medium,MATH,2,0.6133
Model_Medium,MATH,3,0.5192
Model_Medium,MATH,4,0.4395
Model_Medium,MATH,5,0.372
Model_Medium,MATH,6,0.3149
Model_Medium,MATH,7,0.2666
Model_Medium,MATH,8,0.2257
Model_Medium,MATH,9,0.191
Model_Medium,MATH,10,0.1617
Model_Large,GSM8K,0,0.9101
Model_Large,GSM8K,1,0.7827
Model_Large,GSM8K,2,0.6731
Model_Large,GSM8K,3,0.5789
Model_Large,GSM8K,4,0.4979
Model_Large,GSM8K,5,0.4282
Model_Large,GSM8K,6,0.3682
Model_Large,GSM8K,7,0.3167
Model_Large,GSM8K,8,0.2724
Model_Large,GSM8K,9,0.2342
Model_Large,GSM8K,10,0.2014
Model_Large,MATH,0,0.8521
Model_Large,MATH,1,0.7138
Model_Large,MATH,2,0.598
Model_Large,MATH,3,0.501
Model_Large,MATH,4,0.4198
Model_Large,MATH,5,0.3517
Model_Large,MATH,6,0.2946
Model_Large,MATH,7,0.2468
Model_Large,MATH,8,0.2068
Model_Large,MATH,9,0.1733
Model_Large,MATH,10,0.1451
